time,az (m/s^2)
0.000532,-0.1181
0.001004,-0.3813
0.002193,-0.3192
0.003953,0.1234
0.007146,0.547
0.009396,0.389
0.012996,0.0754
0.013727,0.0324
0.016871,0.0899
0.018966,-0.0704
0.021175,-0.171
0.025896,0.0993
0.026205,0.341
0.028938,0.1257
0.032145,-0.2477
0.03408,-0.1328
0.035599,0.3529
0.037949,0.4391
0.041255,0.1351
0.046225,-0.0276
0.046601,0.0347
0.048758,-0.0945
0.051067,-0.4079
0.053444,-0.3003
0.055308,0.2285
0.05762,0.5037
0.060976,0.3816
0.063118,0.2404
0.066597,0.2979
0.067044,0.2118
0.070963,-0.1806
0.075231,-0.3338
0.076136,-0.0155
0.078201,0.2239
0.082089,0.0396
0.084424,-0.1399
0.085471,0.0491
0.086826,0.3363
0.09321,0.1999
0.093794,0.0443
0.098435,0.1759
0.098993,0.3099
0.099588,0.0228
0.102504,-0.2548
0.10506,-0.2094
0.108837,-0.0034
0.109409,0.0014
0.112245,-0.0251
0.114646,0.2189
0.116594,0.5061
0.118783,0.3458
0.120526,-0.0659
0.128148,-0.219
0.128781,-0.0324
0.129243,0.0778
0.131833,-0.0778
0.134845,-0.1138
0.135246,0.0873
0.139299,0.0658
0.144335,-0.1616
0.145567,-0.2095
0.146245,0.159
0.148193,0.4222
0.149965,0.3265
0.153843,0.2116
0.155016,0.238
0.1617,0.1998
0.162441,-0.1376
0.162797,-0.341
0.165442,-0.0274
0.167935,0.2549
0.169034,0.243
0.171811,-0.0227
0.177689,0.1114
0.178515,0.1641
0.178967,-0.0178
0.18298,-0.1877
0.184957,-0.0059
0.186302,0.2861
0.192184,0.176
0.193133,-0.1088
0.194479,0.0156
0.197955,0.2454
0.198962,0.2645
0.201697,0.0419
0.202921,0.0993
0.212353,0.2286
0.212892,0.1114
0.213183,-0.2476
0.2153,-0.3481
0.217747,0.0012
0.218335,0.2405
0.220515,0.2284
0.227185,0.3097
0.227637,0.3863
0.227904,0.1638
0.230849,-0.3459
0.235223,-0.5708
0.237468,-0.2406
0.237937,0.104
0.242644,0.1159
0.243152,0.1541
0.246417,0.3215
0.248341,0.4579
0.252739,0.2282
0.25321,-0.0565
0.256561,0.0535
0.261422,0.2402
0.261913,0.0895
0.262234,-0.2264
0.265126,-0.157
0.267437,0.0441
0.270909,0.0968
0.273019,0.092
0.277739,0.305
0.278323,0.4461
0.279809,0.0968
0.28206,-0.3435
0.286583,-0.3913
0.287167,-0.0203
0.290888,0.2238
0.291452,0.274
0.303311,0.3697
0.303855,0.4487
0.304239,0.2334
0.304607,-0.2642
0.305004,-0.4748
0.305352,-0.1949
0.308972,0.1066
0.311295,0.1544
0.312853,0.2166
0.315606,0.3458
0.318313,0.2406
0.320061,-0.2021
0.328306,-0.4534
0.328976,-0.1925
0.329376,0.1688
0.329759,0.2023
0.332451,0.14
0.334677,0.2022
0.337364,0.2525
0.340955,0.0347
0.343357,-0.0994
0.34405,0.1015
0.35182,0.4605
0.3524,0.3457
0.352911,0.0154
0.354065,-0.097
0.359484,-0.0778
0.360084,-0.2644
0.362667,-0.3578
0.363445,-0.0683
0.36709,0.3887
0.369637,0.4724
0.372876,0.2498
0.375553,0.1876
0.37712,0.2211
0.382246,0.0537
0.382665,-0.2072
0.383066,-0.1689
0.387514,0.1016
0.389644,0.2236
0.403919,0.0465
0.404536,-0.0253
0.405022,0.0872
0.405423,0.1423
0.40584,-0.0253
0.406205,-0.0517
0.406559,0.221
0.41233,0.4125
0.413069,0.1564
0.413488,-0.1379
0.415611,-0.0972
0.417648,0.0178
0.420461,-0.1329
0.421648,-0.2023
0.429347,-0.0013
0.430207,0.2762
0.430656,0.2044
0.431799,0.1373
0.433797,0.2402
0.436973,0.4317
0.441456,0.2068
0.442121,-0.1713
0.444103,-0.2406
0.4463,-0.0706
0.448485,-0.0969
0.450906,-0.1902
0.454412,0.0251
0.459513,0.4486
0.460311,0.4893
0.460788,0.2236
0.464869,0.0274
0.465672,-0.03
